County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,1,NGAINA PRIMARY SCHOOL,30157078100101,NGAINA PRIMARY SCHOOL,175
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,2,SUKUT PRIMARY SCHOOL,30157078100201,SUKUT PRIMARY SCHOOL,274
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,3,NG'ELEYO PRE SCHOOL,30157078100301,NG'ELEYO PRE SCHOOL,179
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,4,NG'ORON PRIMARY SCHOOL,30157078100401,NG'ORON PRIMARY SCHOOL,470
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,5,KAPENGURIA PRIMARY SCHOOL,30157078100501,KAPENGURIA PRIMARY SCHOOL,257
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,6,PTIKII PRIMARY SCHOOL,30157078100601,PTIKII PRIMARY SCHOOL,405
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,7,ORONTO KREZE PRIMARY S CHOOL,30157078100701,ORONTO KREZE PRIMARY S CHOOL,259
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,8,ROTII PRIMARY SCHOOL,30157078100801,ROTII PRIMARY SCHOOL,66
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,9,EMBOSITIT PRE SCHOOL,30157078100901,EMBOSITIT PRE SCHOOL,148
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,10,ADOMEYON NURSERY SCHOOL,30157078101001,ADOMEYON NURSERY SCHOOL,242
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,11,KIMNYAN PRIMARY SCHOOL,30157078101101,KIMNYAN PRIMARY SCHOOL,139
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,12,KAPUNYANY PRIMARY SCHOOL,30157078101201,KAPUNYANY PRIMARY SCHOOL,575
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,13,KONG'OR VILLAGE MOBILE,30157078101301,KONG'OR VILLAGE MOBILE,235
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,14,AKORET CENTER.,30157078101401,AKORET CENTER.,89
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,15,KAMRIO PRIMARY SCHOOL,30157078101501,KAMRIO PRIMARY SCHOOL,363
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,16,KAPAU PRE SCHOOL,30157078101601,KAPAU PRE SCHOOL,185
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,17,KAPEDO PRIMARY SCHOOL,30157078101701,KAPEDO PRIMARY SCHOOL,94
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,18,CHESAWACH PRIMARY SCHOOL,30157078101801,CHESAWACH PRIMARY SCHOOL,230
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,19,KORELACH PRIMARY SCHOOL,30157078101901,KORELACH PRIMARY SCHOOL,477
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,20,KAMSINO PRIMARY SCHOOL,30157078102001,KAMSINO PRIMARY SCHOOL,142
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,21,CHESOTIM PRE SCHOOL,30157078102101,CHESOTIM PRE SCHOOL,252
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,22,LAIN VILLAGE MOBILE,30157078102201,LAIN VILLAGE MOBILE,19
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,143,CHEMAYES PRIMARY SCHOOL,30157078114301,CHEMAYES PRIMARY SCHOOL,123
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,144,TAKAWYA PRIMARY SCHOOL,30157078114401,TAKAWYA PRIMARY SCHOOL,35
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,145,KANGIRURU PRIMARY SCHOOL,30157078114501,KANGIRURU PRIMARY SCHOOL,118
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,146,DOMO PRIMARY SCHOOL,30157078114601,DOMO PRIMARY SCHOOL,49
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,147,KAMPI PRIMARY SCHOOL,30157078114701,KAMPI PRIMARY SCHOOL,96
30,BARINGO,157.0,TIATY,781.0,TIRIOKO,148,CHEPKIRIAL PRIMARY SCHOOL,30157078114801,CHEPKIRIAL PRIMARY SCHOOL,68
30,BARINGO,157.0,TIATY,782.0,KOLOWA,23,KOLOWA PRY. SCHOOL,30157078202301,KOLOWA PRY. SCHOOL,456
30,BARINGO,157.0,TIATY,782.0,KOLOWA,24,KOIPASIRAN VILLAGE,30157078202401,KOIPASIRAN VILLAGE,166
30,BARINGO,157.0,TIATY,782.0,KOLOWA,25,BARBELLO PRIMARY SCHOOL,30157078202501,BARBELLO PRIMARY SCHOOL,576
30,BARINGO,157.0,TIATY,782.0,KOLOWA,26,CHEPTURU PRIMARY SCHOOL,30157078202601,CHEPTURU PRIMARY SCHOOL,347
30,BARINGO,157.0,TIATY,782.0,KOLOWA,27,TUWIT NURSERY SCHOOL,30157078202701,TUWIT NURSERY SCHOOL,391
30,BARINGO,157.0,TIATY,782.0,KOLOWA,28,TILINGWA PRIMARY SCHOOL,30157078202801,TILINGWA PRIMARY SCHOOL,272
30,BARINGO,157.0,TIATY,782.0,KOLOWA,29,LOIWAT PRIMARY SCHOOL,30157078202901,LOIWAT PRIMARY SCHOOL,243
30,BARINGO,157.0,TIATY,782.0,KOLOWA,30,TUGOMOI PRIMARY SCHOOL,30157078203001,TUGOMOI PRIMARY SCHOOL,293
30,BARINGO,157.0,TIATY,782.0,KOLOWA,31,KIPNAI PRIMARY SCHOOL,30157078203101,KIPNAI PRIMARY SCHOOL,292
30,BARINGO,157.0,TIATY,782.0,KOLOWA,32,KAKAPUL PRIMARY SCHOOL,30157078203201,KAKAPUL PRIMARY SCHOOL,234
30,BARINGO,157.0,TIATY,782.0,KOLOWA,33,KAISAKAT PRIMARY SCHOOL,30157078203301,KAISAKAT PRIMARY SCHOOL,284
30,BARINGO,157.0,TIATY,782.0,KOLOWA,34,MEUTO PRIMARY SCHOOL,30157078203401,MEUTO PRIMARY SCHOOL,208
30,BARINGO,157.0,TIATY,782.0,KOLOWA,35,ADICH PRIMARY SCHOOL,30157078203501,ADICH PRIMARY SCHOOL,215
30,BARINGO,157.0,TIATY,782.0,KOLOWA,36,KAIPAPICH NURSERY SCHOOL,30157078203601,KAIPAPICH NURSERY SCHOOL,240
30,BARINGO,157.0,TIATY,782.0,KOLOWA,37,AYELELION DAM,30157078203701,AYELELION DAM,258
30,BARINGO,157.0,TIATY,782.0,KOLOWA,38,KERELON PRIMARY SCHOOL,30157078203801,KERELON PRIMARY SCHOOL,332
30,BARINGO,157.0,TIATY,782.0,KOLOWA,39,LOMUKE MOBILE,30157078203901,LOMUKE MOBILE,277
30,BARINGO,157.0,TIATY,782.0,KOLOWA,40,KWOLOYOY MOBILE.,30157078204001,KWOLOYOY MOBILE.,114
30,BARINGO,157.0,TIATY,782.0,KOLOWA,41,NALUKUMONG'IN PRIMARY SCHOOL,30157078204101,NALUKUMONG'IN PRIMARY SCHOOL,202
