County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,1,NAKITOEKAKUMUON PRIMARY SCHOOL,23123061100101,NAKITOEKAKUMUON PRIMARY SCHOO,477
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,2,KAERIS PRIMARY SCHOOL,23123061100201,KAERIS PRIMARY SCHOOL,496
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,2,KAERIS PRIMARY SCHOOL,23123061100202,KAERIS PRIMARY SCHOOL,495
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,3,NADUNGA PRIMARY SCHOOL,23123061100301,NADUNGA PRIMARY SCHOOL,647
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,4,KANGAKIPUR PRIMARY SCHOOL,23123061100401,KANGAKIPUR PRIMARY SCHOOL,484
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,5,KANUKURUDIO PRIMARY SCHOOL,23123061100501,KANUKURUDIO PRIMARY SCHOOL,571
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,5,KANUKURUDIO PRIMARY SCHOOL,23123061100502,KANUKURUDIO PRIMARY SCHOOL,571
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,6,KAITUKO PRIMARY SCHOOL,23123061100601,KAITUKO PRIMARY SCHOOL,294
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,7,MILIMATATU PRIMARY SCHOOL,23123061100701,MILIMATATU PRIMARY SCHOOL,435
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,7,MILIMATATU PRIMARY SCHOOL,23123061100702,MILIMATATU PRIMARY SCHOOL,435
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,8,KALOPETA WATER POINT,23123061100801,KALOPETA WATER POINT,322
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,9,NAURIENDIRIA PRIMARY SCHOOL,23123061100901,NAURIENDIRIA PRIMARY SCHOOL,411
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,10,KANGAMOJOJ PRIMARY SCHOOL,23123061101001,KANGAMOJOJ PRIMARY SCHOOL,238
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,108,NAKALILIOT ECDE,23123061110801,NAKALILIOT ECDE,173
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,109,LOKWAKEL ECDE,23123061110901,LOKWAKEL ECDE,111
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,110,MATANKORIO WATERPOINT,23123061111001,MATANKORIO WATERPOINT,17
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,111,KALODOKUME WATER POINT,23123061111101,KALODOKUME WATER POINT,222
23,TURKANA,123.0,TURKANA NORTH,611.0,KAERIS,112,LORENGO WATER POINT,23123061111201,LORENGO WATER POINT,187
