County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,1,MAUA STADIUM,12051025100101,MAUA STADIUM,546
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,1,MAUA STADIUM,12051025100102,MAUA STADIUM,546
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,1,MAUA STADIUM,12051025100103,MAUA STADIUM,545
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,1,MAUA STADIUM,12051025100104,MAUA STADIUM,545
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,2,MAUA GIRLS HIGH SCHOOL,12051025100201,MAUA GIRLS HIGH SCHOOL,631
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,2,MAUA GIRLS HIGH SCHOOL,12051025100202,MAUA GIRLS HIGH SCHOOL,630
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,2,MAUA GIRLS HIGH SCHOOL,12051025100203,MAUA GIRLS HIGH SCHOOL,630
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,2,MAUA GIRLS HIGH SCHOOL,12051025100204,MAUA GIRLS HIGH SCHOOL,630
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,3,MAUA TEA BANDA,12051025100301,MAUA TEA BANDA,577
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,3,MAUA TEA BANDA,12051025100302,MAUA TEA BANDA,576
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,4,MAUA PRIMARY SCHOOL,12051025100401,MAUA PRIMARY SCHOOL,614
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,4,MAUA PRIMARY SCHOOL,12051025100402,MAUA PRIMARY SCHOOL,613
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,5,KILALAI PRIMARY SCHOOL,12051025100501,KILALAI PRIMARY SCHOOL,658
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,5,KILALAI PRIMARY SCHOOL,12051025100502,KILALAI PRIMARY SCHOOL,657
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,6,GITURA PRIMARY SCHOOL,12051025100601,GITURA PRIMARY SCHOOL,504
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,6,GITURA PRIMARY SCHOOL,12051025100602,GITURA PRIMARY SCHOOL,503
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,6,GITURA PRIMARY SCHOOL,12051025100603,GITURA PRIMARY SCHOOL,503
12,MERU,51.0,IGEMBE SOUTH,251.0,MAUA,7,KATHIMA PRIMARY SCHOOL,12051025100701,KATHIMA PRIMARY SCHOOL,517
