County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,1,DIDKURO PRIMARY SCHOOL,9039019100101,DIDKURO PRIMARY SCHOOL,663
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,1,DIDKURO PRIMARY SCHOOL,9039019100102,DIDKURO PRIMARY SCHOOL,663
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,1,DIDKURO PRIMARY SCHOOL,9039019100103,DIDKURO PRIMARY SCHOOL,662
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,2,DUDUBLE PRIMARY SCHOOL,9039019100201,DUDUBLE PRIMARY SCHOOL,484
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,2,DUDUBLE PRIMARY SCHOOL,9039019100202,DUDUBLE PRIMARY SCHOOL,484
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,3,WANGAI DAHAN PRIMARY SCHOOL,9039019100301,WANGAI DAHAN PRIMARY SCHOOL,529
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,4,SUKELA QULI PRIMARY SCHOOL,9039019100401,SUKELA QULI PRIMARY SCHOOL,192
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,5,KOTKOTO PRIMARY SCHOOL,9039019100501,KOTKOTO PRIMARY SCHOOL,233
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,6,BOLOWLE PRIMARY SCHOOL,9039019100601,BOLOWLE PRIMARY SCHOOL,468
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,7,KOBADADI PRIMARY SCHOOL,9039019100701,KOBADADI PRIMARY SCHOOL,205
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,8,KOROBO PRIMARY SCHOOL,9039019100801,KOROBO PRIMARY SCHOOL,33
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,36,AMASA PRIMARY SCHOOL,9039019103601,AMASA PRIMARY SCHOOL,28
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,37,WAYAM DERA PRIMARY SCHOOL,9039019103701,WAYAM DERA PRIMARY SCHOOL,128
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,38,ITILALE PRIMARY SCHOOL,9039019103801,ITILALE PRIMARY SCHOOL,518
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,39,GULANI PRIMARY SCHOOL,9039019103901,GULANI PRIMARY SCHOOL,70
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,40,MAJIGARAM PRIMARY SCHOOL,9039019104001,MAJIGARAM PRIMARY SCHOOL,439
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,40,MAJIGARAM PRIMARY SCHOOL,9039019104002,MAJIGARAM PRIMARY SCHOOL,439
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,41,AYAN PRIMARY SCHOOL,9039019104101,AYAN PRIMARY SCHOOL,166
9,MANDERA,39.0,MANDERA WEST,191.0,TAKABA SOUTH,42,DUDUBLE EAST CHIEF'S OFFICE,9039019104201,DUDUBLE EAST CHIEF'S OFFICE,338
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,9,KUBDISHAN PRIMARY SCHOOL,9039019200901,KUBDISHAN PRIMARY SCHOOL,337
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,10,ARDA HALO PRIMARY SCHOOL,9039019201001,ARDA HALO PRIMARY SCHOOL,564
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,11,IYAN ABKULA PRIMARY SCHOOL,9039019201101,IYAN ABKULA PRIMARY SCHOOL,82
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,12,BACHILE PRIMARY SCHOOL,9039019201201,BACHILE PRIMARY SCHOOL,87
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,13,ALLOKOBA PRIMARY SCHOOL,9039019201301,ALLOKOBA PRIMARY SCHOOL,86
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,14,TAKABA PRIMARY SCHOOL,9039019201401,TAKABA PRIMARY SCHOOL,510
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,14,TAKABA PRIMARY SCHOOL,9039019201402,TAKABA PRIMARY SCHOOL,510
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,14,TAKABA PRIMARY SCHOOL,9039019201403,TAKABA PRIMARY SCHOOL,509
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,15,ADULT EDUCATION CENTRE,9039019201501,ADULT EDUCATION CENTRE,522
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,15,ADULT EDUCATION CENTRE,9039019201502,ADULT EDUCATION CENTRE,522
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,43,HAJI RASHID PRIMARY SCHOOL,9039019204301,HAJI RASHID PRIMARY SCHOOL,449
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,43,HAJI RASHID PRIMARY SCHOOL,9039019204302,HAJI RASHID PRIMARY SCHOOL,449
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,44,ROCKY HILLS PRIMARY SCHOOL,9039019204401,ROCKY HILLS PRIMARY SCHOOL,314
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,45,GUBATU PRIMARY SCHOOL,9039019204501,GUBATU PRIMARY SCHOOL,110
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,46,TAKABA BOYS SECONDARY SCHOOL,9039019204601,TAKABA BOYS SECONDARY SCHOOL,94
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,47,BAMBA TAKA PRIMARY SCHOOL,9039019204701,BAMBA TAKA PRIMARY SCHOOL,141
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,48,GAMBELA PRIMARY SCHOOL,9039019204801,GAMBELA PRIMARY SCHOOL,167
9,MANDERA,39.0,MANDERA WEST,192.0,TAKABA,49,HAJI YUSSUF GIRLS SECONDARY SCHOOL,9039019204901,HAJI YUSSUF GIRLS SECONDARY SCHOO,230
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,16,DARWED PRIMARY SCHOOL,9039019301601,DARWED PRIMARY SCHOOL,560
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,16,DARWED PRIMARY SCHOOL,9039019301602,DARWED PRIMARY SCHOOL,560
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,16,DARWED PRIMARY SCHOOL,9039019301603,DARWED PRIMARY SCHOOL,559
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,16,DARWED PRIMARY SCHOOL,9039019301604,DARWED PRIMARY SCHOOL,559
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,17,LAG SURE PRIMARY SCHOOL,9039019301701,LAG SURE PRIMARY SCHOOL,545
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,17,LAG SURE PRIMARY SCHOOL,9039019301702,LAG SURE PRIMARY SCHOOL,544
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,17,LAG SURE PRIMARY SCHOOL,9039019301703,LAG SURE PRIMARY SCHOOL,544
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,17,LAG SURE PRIMARY SCHOOL,9039019301704,LAG SURE PRIMARY SCHOOL,544
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,18,AWACHOSAMBUR PRIMARY SCHOOL,9039019301801,AWACHOSAMBUR PRIMARY SCHOOL,432
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,19,GUTOLE PRIMARY SCHOOL,9039019301901,GUTOLE PRIMARY SCHOOL,497
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,19,GUTOLE PRIMARY SCHOOL,9039019301902,GUTOLE PRIMARY SCHOOL,497
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,19,GUTOLE PRIMARY SCHOOL,9039019301903,GUTOLE PRIMARY SCHOOL,497
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,50,MIRDAKAR PRIMARY SCHOOL,9039019305001,MIRDAKAR PRIMARY SCHOOL,34
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,51,SUKELA QALQALCHA PRIMARY SCHOOL,9039019305101,SUKELA QALQALCHA PRIMARY SCHOOL,194
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,52,QOROBO SAGLAN PRIMARY SCHOOL,9039019305201,QOROBO SAGLAN PRIMARY SCHOOL,126
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,53,OGODE PRIMARY SCHOOL,9039019305301,OGODE PRIMARY SCHOOL,37
9,MANDERA,39.0,MANDERA WEST,193.0,LAGSURE,54,HOOPY PRIMARY SCHOOL,9039019305401,HOOPY PRIMARY SCHOOL,17
9,MANDERA,39.0,MANDERA WEST,194.0,DANDU,20,IRESTENO PRIMARY SCHOOL,9039019402001,IRESTENO PRIMARY SCHOOL,577
9,MANDERA,39.0,MANDERA WEST,194.0,DANDU,20,IRESTENO PRIMARY SCHOOL,9039019402002,IRESTENO PRIMARY SCHOOL,576
9,MANDERA,39.0,MANDERA WEST,194.0,DANDU,20,IRESTENO PRIMARY SCHOOL,9039019402003,IRESTENO PRIMARY SCHOOL,576
