County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,1,GACIIGI TEA BUYING CENTRE,14063031100101,GACIIGI TEA BUYING CENTRE,541
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,2,GAKUNDU COFFEE FACTORY,14063031100201,GAKUNDU COFFEE FACTORY,369
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,3,GAKUNDU COFFEE FACTORY OFFICES,14063031100301,GAKUNDU COFFEE FACTORY OFFICES,441
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,3,GAKUNDU COFFEE FACTORY OFFICES,14063031100302,GAKUNDU COFFEE FACTORY OFFICES,441
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,4,GICHAGO COFFEE FACTORY,14063031100401,GICHAGO COFFEE FACTORY,416
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,5,GICHUGU COFFEE FACTORY,14063031100501,GICHUGU COFFEE FACTORY,601
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,6,GISHA TEA BUYING CENTRE,14063031100601,GISHA TEA BUYING CENTRE,147
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,7,KAIRURI PRIMARY SCHOOL,14063031100701,KAIRURI PRIMARY SCHOOL,606
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,7,KAIRURI PRIMARY SCHOOL,14063031100702,KAIRURI PRIMARY SCHOOL,606
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,8,KAMVIU PRIMARY SCHOOL,14063031100801,KAMVIU PRIMARY SCHOOL,535
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,9,KARURIRI PRIMARY SCHOOL,14063031100901,KARURIRI PRIMARY SCHOOL,553
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,10,KITHUNDIRI TEA BUYING CENTRE,14063031101001,KITHUNDIRI TEA BUYING CENTRE,265
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,11,KENGA PRIMARY SCHOOL,14063031101101,KENGA PRIMARY SCHOOL,492
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,12,KERIA TEA BUYING CENTRE,14063031101201,KERIA TEA BUYING CENTRE,677
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,13,KIAMIATU TEA BUYING CENTRE,14063031101301,KIAMIATU TEA BUYING CENTRE,452
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,14,KIANGAI TEA BUYING CENTRE,14063031101401,KIANGAI TEA BUYING CENTRE,192
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,15,KIANGOCI PRIMARY SCHOOL,14063031101501,KIANGOCI PRIMARY SCHOOL,166
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,16,KIARAGANA TEA BUYING CENTRE,14063031101601,KIARAGANA TEA BUYING CENTRE,215
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,17,KIGARI PRIMARY SCHOOL,14063031101701,KIGARI PRIMARY SCHOOL,248
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,18,KIINI TEA BUYING CENTRE,14063031101801,KIINI TEA BUYING CENTRE,563
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,19,KIRIARI PRIMARY SCHOOL,14063031101901,KIRIARI PRIMARY SCHOOL,698
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,20,KIRIGI PRIMARY SCHOOL,14063031102001,KIRIGI PRIMARY SCHOOL,523
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,20,KIRIGI PRIMARY SCHOOL,14063031102002,KIRIGI PRIMARY SCHOOL,523
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,20,KIRIGI PRIMARY SCHOOL,14063031102003,KIRIGI PRIMARY SCHOOL,523
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,21,KITHUNGURIRI PRIMARY SCHOOL,14063031102101,KITHUNGURIRI PRIMARY SCHOOL,397
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,22,KIVANGUA COFFEE FACTORY,14063031102201,KIVANGUA COFFEE FACTORY,390
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,22,KIVANGUA COFFEE FACTORY,14063031102202,KIVANGUA COFFEE FACTORY,390
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,23,MANYATTA TEA BUYING CENTRE,14063031102301,MANYATTA TEA BUYING CENTRE,410
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,23,MANYATTA TEA BUYING CENTRE,14063031102302,MANYATTA TEA BUYING CENTRE,410
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,24,MUKANGU PRIMARY SCHOOL,14063031102401,MUKANGU PRIMARY SCHOOL,437
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,24,MUKANGU PRIMARY SCHOOL,14063031102402,MUKANGU PRIMARY SCHOOL,437
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,25,NGIMARI PRIMARY SCHOOL,14063031102501,NGIMARI PRIMARY SCHOOL,636
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,26,RWERE TEA BUYING CENTRE,14063031102601,RWERE TEA BUYING CENTRE,322
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,27,KAMVIU COFFEE FACTORY,14063031102701,KAMVIU COFFEE FACTORY,170
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,28,KIANJUGU TEA BUYING CENTRE,14063031102801,KIANJUGU TEA BUYING CENTRE,200
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,29,KITHUNGURIRI TEA BUYING CENTRE,14063031102901,KITHUNGURIRI TEA BUYING CENTRE,402
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,30,ST.MARKS KIGARI TEACHERS COLLEGE,14063031103001,ST.MARKS KIGARI TEACHERS COLLEGE,163
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,31,KANORORI POLYTECHNIC,14063031103101,KANORORI POLYTECHNIC,638
14,EMBU,63.0,MANYATTA,311.0,RUGURU/NGANDORI,32,KIRIARI DAY SECONDARY SCHOOL,14063031103201,KIRIARI DAY SECONDARY SCHOOL,351
