County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,1,LOLUA VILLAGE (MOBILE),25133066100101,LOLUA VILLAGE (MOBILE),168
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,2,MUGUR PRIMARY SCHOOL,25133066100201,MUGUR PRIMARY SCHOOL,104
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,3,LMISIGIYOI PRIMARY SCHOOL,25133066100301,LMISIGIYOI PRIMARY SCHOOL,262
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,4,LARIAK OROK NURSERY SCHOOL,25133066100401,LARIAK OROK NURSERY SCHOOL,128
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,5,DARAJA NURSERY SCHOOL,25133066100501,DARAJA NURSERY SCHOOL,187
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,6,KISIMA PRIMARY SCHOOL,25133066100601,KISIMA PRIMARY SCHOOL,449
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,6,KISIMA PRIMARY SCHOOL,25133066100602,KISIMA PRIMARY SCHOOL,449
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,7,LALAING'OK NURSERY SCHOOL,25133066100701,LALAING'OK NURSERY SCHOOL,132
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,8,NAIBORKEJU PRIMARY SCHOOL,25133066100801,NAIBORKEJU PRIMARY SCHOOL,511
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,9,LPETPET PRIMARY SCHOOL,25133066100901,LPETPET PRIMARY SCHOOL,330
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,10,LOLTULELEI PRIMARY SCHOOL,25133066101001,LOLTULELEI PRIMARY SCHOOL,461
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,11,LKILORITI PRIMARY SCHOOL,25133066101101,LKILORITI PRIMARY SCHOOL,632
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,12,LODOKEJEK PRIMARY SCHOOL,25133066101201,LODOKEJEK PRIMARY SCHOOL,548
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,13,LOCHO NURSERY SCHOOL,25133066101301,LOCHO NURSERY SCHOOL,159
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,14,SURA ADORU PRIMARY SCHOOL,25133066101401,SURA ADORU PRIMARY SCHOOL,432
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,15,KIRIMUN PRIMARY SCHOOL,25133066101501,KIRIMUN PRIMARY SCHOOL,395
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,16,KIRIMUN NURSERY SCHOOL,25133066101601,KIRIMUN NURSERY SCHOOL,266
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,17,GARMA NURSERY SCHOOL,25133066101701,GARMA NURSERY SCHOOL,316
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,18,KELELE PRIMARY SCHOOL,25133066101801,KELELE PRIMARY SCHOOL,277
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,19,NENKER'PUS PRIMARY SCHOOL,25133066101901,NENKER'PUS PRIMARY SCHOOL,419
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,20,NG'AMATA PRIMARY SCHOOL,25133066102001,NG'AMATA PRIMARY SCHOOL,445
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,96,LOUKU ECD PRE SCHOOL,25133066109601,LOUKU ECD PRE SCHOOL,175
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,97,MPOGANI ECD PRE SCHOOL,25133066109701,MPOGANI ECD PRE SCHOOL,80
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,98,LBAA LESUKUTA PRE SCHOOL,25133066109801,LBAA LESUKUTA PRE SCHOOL,101
25,SAMBURU,133.0,SAMBURU WEST,661.0,LODOKEJEK,99,LKICHAKI PRE SCHOOL,25133066109901,LKICHAKI PRE SCHOOL,32
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,21,KITABOR PRIMARY SCHOOL,25133066202101,KITABOR PRIMARY SCHOOL,530
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,22,LOLMOLOG PRIMARY SCHOOL,25133066202201,LOLMOLOG PRIMARY SCHOOL,457
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,22,LOLMOLOG PRIMARY SCHOOL,25133066202202,LOLMOLOG PRIMARY SCHOOL,456
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,23,LORUKOTI PRIMARY SCHOOL,25133066202301,LORUKOTI PRIMARY SCHOOL,420
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,24,LMARI NURSERY SCHOOL,25133066202401,LMARI NURSERY SCHOOL,189
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,25,LOGORATE PRIMARY SCHOOL,25133066202501,LOGORATE PRIMARY SCHOOL,643
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,26,ANGATA RONGAI PRIMARY SCHOOL,25133066202601,ANGATA RONGAI PRIMARY SCHOOL,529
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,27,NKUTOTO PRIMARY SCHOOL,25133066202701,NKUTOTO PRIMARY SCHOOL,163
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,28,LCHORO LELERAI PRIMARY SCHOOL,25133066202801,LCHORO LELERAI PRIMARY SCHOOL,372
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,29,SUGUTA MARMAR PRIMARY SCHOOL,25133066202901,SUGUTA MARMAR PRIMARY SCHOOL,536
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,29,SUGUTA MARMAR PRIMARY SCHOOL,25133066202902,SUGUTA MARMAR PRIMARY SCHOOL,535
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,30,SUGUTA MARMAR NURSERY SCHOOL,25133066203001,SUGUTA MARMAR NURSERY SCHOOL,366
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,30,SUGUTA MARMAR NURSERY SCHOOL,25133066203002,SUGUTA MARMAR NURSERY SCHOOL,365
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,31,NASUR PRIMARY SCHOOL,25133066203101,NASUR PRIMARY SCHOOL,151
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,32,AMAIYA PRIMARY SCHOOL,25133066203201,AMAIYA PRIMARY SCHOOL,123
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,33,LONGEWAN PRIMARY SCHOOL,25133066203301,LONGEWAN PRIMARY SCHOOL,378
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,33,LONGEWAN PRIMARY SCHOOL,25133066203302,LONGEWAN PRIMARY SCHOOL,377
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,102,LOLGESE PRIMARY SCHOOL,25133066210201,LOLGESE PRIMARY SCHOOL,277
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,103,LOLMOLOK DAY MIXED SECONDARY SCHOO,25133066210301,LOLMOLOK DAY MIXED SECONDARY SC,97
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,104,LOWA MARA ECD PRE SCHOOL,25133066210401,LOWA MARA ECD PRE SCHOOL,100
25,SAMBURU,133.0,SAMBURU WEST,662.0,SUGUTA MARMAR,105,LARIAK OROK PRIMARY SCHOOL,25133066210501,LARIAK OROK PRIMARY SCHOOL,135
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,34,NOMOTIO PRIMARY SCHOOL,25133066303401,NOMOTIO PRIMARY SCHOOL,468
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,35,LGOS PRIMARY SCHOOL,25133066303501,LGOS PRIMARY SCHOOL,444
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,36,LPARTUK PRIMARY SCHOOL,25133066303601,LPARTUK PRIMARY SCHOOL,446
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,37,LKUROTO PRIMARY SCHOOL,25133066303701,LKUROTO PRIMARY SCHOOL,649
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,38,MARALAL EQUITY(OPEN),25133066303801,MARALAL EQUITY(OPEN),412
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,38,MARALAL EQUITY(OPEN),25133066303802,MARALAL EQUITY(OPEN),412
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,39,SAMBURU TEACHERS SACCO(OPEN),25133066303901,SAMBURU TEACHERS SACCO(OPEN),477
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,40,AP LINE I (OPEN),25133066304001,AP LINE I (OPEN),665
25,SAMBURU,133.0,SAMBURU WEST,663.0,MARALAL,41,HIGHWAY MARALAL (OPEN),25133066304101,HIGHWAY MARALAL (OPEN),371
