County Code,County Name,Const Code,Const Name,CAW Code,CAW Name,Reg Centre Code,Reg Centre Name,Polling Station Code,Polling Station Name,Registered Voters
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,1,MWARONI PRIMARY SCHOOL,2007003100101,MWARONI PRIMARY SCHOOL,581
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,1,MWARONI PRIMARY SCHOOL,2007003100102,MWARONI PRIMARY SCHOOL,581
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,1,MWARONI PRIMARY SCHOOL,2007003100103,MWARONI PRIMARY SCHOOL,580
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,1,MWARONI PRIMARY SCHOOL,2007003100104,MWARONI PRIMARY SCHOOL,580
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,1,MWARONI PRIMARY SCHOOL,2007003100105,MWARONI PRIMARY SCHOOL,580
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,2,MWAKAMBA NURSERYSCHOOL,2007003100201,MWAKAMBA NURSERYSCHOOL,373
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,2,MWAKAMBA NURSERYSCHOOL,2007003100202,MWAKAMBA NURSERYSCHOOL,373
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,3,SHAMU PRIMARY SCHOOL,2007003100301,SHAMU PRIMARY SCHOOL,481
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,3,SHAMU PRIMARY SCHOOL,2007003100302,SHAMU PRIMARY SCHOOL,481
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,4,MWAMANGA PRIMARY SCHOOL,2007003100401,MWAMANGA PRIMARY SCHOOL,488
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,4,MWAMANGA PRIMARY SCHOOL,2007003100402,MWAMANGA PRIMARY SCHOOL,488
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,5,MABOKONI PRIMAR SCHOOL,2007003100501,MABOKONI PRIMAR SCHOOL,481
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,6,BONGWE PRIMARY SCHOOL,2007003100601,BONGWE PRIMARY SCHOOL,543
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,6,BONGWE PRIMARY SCHOOL,2007003100602,BONGWE PRIMARY SCHOOL,542
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,6,BONGWE PRIMARY SCHOOL,2007003100603,BONGWE PRIMARY SCHOOL,542
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,7,MBUWANI PRIMARY SCHOOL,2007003100701,MBUWANI PRIMARY SCHOOL,682
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,8,MWAMAMBI PRIMARY SCHOOL,2007003100801,MWAMAMBI PRIMARY SCHOOL,534
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,8,MWAMAMBI PRIMARY SCHOOL,2007003100802,MWAMAMBI PRIMARY SCHOOL,533
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,8,MWAMAMBI PRIMARY SCHOOL,2007003100803,MWAMAMBI PRIMARY SCHOOL,533
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100901,JOGOO FOOTBALL GROUNDS,668
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100902,JOGOO FOOTBALL GROUNDS,668
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100903,JOGOO FOOTBALL GROUNDS,668
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100904,JOGOO FOOTBALL GROUNDS,668
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100905,JOGOO FOOTBALL GROUNDS,668
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100906,JOGOO FOOTBALL GROUNDS,667
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100907,JOGOO FOOTBALL GROUNDS,667
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100908,JOGOO FOOTBALL GROUNDS,667
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100909,JOGOO FOOTBALL GROUNDS,667
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,9,JOGOO FOOTBALL GROUNDS,2007003100910,JOGOO FOOTBALL GROUNDS,667
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,10,MINISTRY OF WORKS QUARTERS,2007003101001,MINISTRY OF WORKS QUARTERS,631
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,10,MINISTRY OF WORKS QUARTERS,2007003101002,MINISTRY OF WORKS QUARTERS,631
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,10,MINISTRY OF WORKS QUARTERS,2007003101003,MINISTRY OF WORKS QUARTERS,630
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,11,MLUNGU NIPA PRIMARY SCHOOL,2007003101101,MLUNGU NIPA PRIMARY SCHOOL,387
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,12,MWANJAMBA PRIMARY SCHOOL,2007003101201,MWANJAMBA PRIMARY SCHOOL,238
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,13,VUKANI PRIMARY SCHOOL,2007003101301,VUKANI PRIMARY SCHOOL,244
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,61,NN'GORI PRIMARY SCHOOL,2007003106101,NN'GORI PRIMARY SCHOOL,397
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,61,NN'GORI PRIMARY SCHOOL,2007003106102,NN'GORI PRIMARY SCHOOL,397
2,KWALE,7.0,MSAMBWENI,31.0,GOMBATO BONGWE,62,CHIDZANGONI NURSERY SCHOOL,2007003106201,CHIDZANGONI NURSERY SCHOOL,345
2,KWALE,7.0,MSAMBWENI,32.0,UKUNDA,14,MWAKIGWENA PRIMARY SCHOOL,2007003201401,MWAKIGWENA PRIMARY SCHOOL,665
2,KWALE,7.0,MSAMBWENI,32.0,UKUNDA,14,MWAKIGWENA PRIMARY SCHOOL,2007003201402,MWAKIGWENA PRIMARY SCHOOL,665
